eval,fitness,prey_move_cost,pred_move_cost,pred_bite_reward,pred_digest_time,pred_repro_thresh,prey_cooldown,pred_cooldown,parent_energy_split,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,detritus_fraction,carcass_fraction,detritus_decay_rate,detritus_decay_eff,grazing_diet_cap,hunting_diet_floor,prey_density_k
1,-21493.499900,0.050000,0.032990,0.787570,0.200000,0.612410,10.829360,7.872556,0.700000,13.496705,0.000000,10.000000,0.500000,0.500000,165.689781,0.009291,0.500000,0.100000,2.000000,0.300000,0.900000,0.096087,0.300000,0.150000,0.840419,50.000000
2,-23464.084370,0.050000,0.010000,0.800000,0.200000,0.950000,4.000000,6.000000,0.558574,11.232441,0.650779,10.000000,0.500000,0.887759,20.000000,0.002000,5.000000,1.410909,2.000000,0.000000,0.900000,0.200000,0.800000,0.150000,0.743523,50.000000
3,-20094.162499,0.050000,0.051364,0.682926,2.568923,0.743184,12.094175,16.065766,0.400000,5.000000,0.000000,10.000000,5.000000,0.743812,20.000000,0.003494,0.500000,1.876133,2.000000,0.080513,0.300000,0.147609,0.300000,0.283760,0.559908,50.000000
4,-23052.824695,0.050000,0.010000,0.400000,0.200000,0.640106,7.954838,6.000000,0.437112,30.000000,0.000000,10.000000,3.295011,1.500000,20.000000,0.018181,5.000000,3.000000,1.878752,0.080420,0.900000,0.071835,0.722067,0.500000,0.500000,500.000000
5,-9545.812006,0.050000,0.010000,0.442872,1.252961,0.637743,13.895175,6.185043,0.700000,5.000000,0.000000,10.000000,0.500000,0.500000,300.000000,0.002000,0.500000,2.687921,0.941999,0.101935,0.300000,0.010000,0.300000,0.150000,0.500000,50.000000
6,-20827.857289,0.250000,0.077164,0.724724,0.548697,0.669436,4.000000,6.000000,0.700000,30.000000,1.000000,67.794354,5.000000,1.216691,20.000000,0.015935,5.000000,0.100000,0.433051,0.243818,0.300000,0.010000,0.377750,0.500000,0.687525,50.000000
7,-10140.221488,0.250000,0.074962,0.400000,0.200000,0.500000,4.000000,13.833789,0.700000,17.413116,0.000000,600.000000,3.505648,0.500000,300.000000,0.006669,0.500000,3.000000,0.300000,0.000000,0.656661,0.010000,0.300000,0.500000,0.796893,50.000000
8,-27940.415339,0.117382,0.080000,0.481466,3.000000,0.950000,4.285051,6.000000,0.400000,5.000000,0.692081,10.000000,3.564402,1.500000,20.000000,0.002000,4.721395,1.137446,0.300000,0.000000,0.564020,0.010000,0.800000,0.383854,0.565335,124.719791
9,-28971.723076,0.250000,0.080000,0.669240,0.200000,0.950000,20.000000,10.704262,0.697094,15.301754,0.000000,10.000000,0.784538,0.500000,161.886202,0.050000,5.000000,0.100000,1.074446,0.203424,0.300000,0.133577,0.606092,0.150000,0.596775,500.000000
10,-22215.155936,0.050000,0.074193,0.567886,3.000000,0.823700,20.000000,13.352222,0.400000,19.364788,0.536603,600.000000,5.000000,0.683505,300.000000,0.050000,5.000000,3.000000,2.000000,0.000000,0.300000,0.111051,0.800000,0.150000,0.500000,50.000000
11,-20567.231655,0.050000,0.051918,0.479304,2.200994,0.500000,20.000000,20.000000,0.434482,27.518548,0.000000,10.000000,0.500000,1.147719,296.479045,0.002000,0.880912,0.100000,0.300000,0.000000,0.900000,0.010000,0.800000,0.150000,0.500000,50.000000
12,-29343.324543,0.250000,0.080000,0.400000,0.200000,0.950000,20.000000,20.000000,0.400000,30.000000,0.614304,10.000000,0.500000,1.500000,112.382511,0.050000,0.500000,0.100000,2.000000,0.212018,0.900000,0.200000,0.381812,0.319702,0.500000,174.900770
13,-22758.038703,0.250000,0.010000,0.557859,3.000000,0.500000,4.649216,20.000000,0.700000,5.000000,0.563238,600.000000,0.500000,1.500000,195.390425,0.002000,0.500000,0.100000,2.000000,0.000000,0.900000,0.010000,0.800000,0.302236,0.521284,377.751333
14,-22761.380866,0.205235,0.010000,0.591997,0.200000,0.500000,10.803018,19.344617,0.576249,30.000000,0.090220,600.000000,4.771041,1.022713,195.146614,0.048534,5.000000,0.100000,2.000000,0.213195,0.300000,0.188056,0.523114,0.150000,0.850000,50.000000
15,-23702.267430,0.250000,0.066211,0.800000,0.200000,0.950000,9.150157,14.517280,0.700000,30.000000,0.000000,10.000000,0.500000,1.500000,20.000000,0.002000,0.500000,3.000000,0.300000,0.240205,0.900000,0.105459,0.486716,0.150000,0.850000,500.000000
16,-18326.193751,0.050000,0.036326,0.517341,0.377626,0.500000,8.065528,20.000000,0.700000,5.000000,0.371241,10.000000,5.000000,1.028135,244.231381,0.050000,0.500000,0.100000,0.300000,0.300000,0.839859,0.010000,0.300000,0.382402,0.500000,50.000000
17,-20768.521012,0.162735,0.010000,0.400000,0.200000,0.718245,4.000000,6.000000,0.700000,5.000000,1.000000,10.000000,3.772970,0.500000,246.115199,0.002000,3.520426,0.100000,0.300000,0.000000,0.900000,0.010000,0.800000,0.174761,0.802345,50.000000
18,-22001.453740,0.050000,0.010000,0.400000,0.494781,0.782598,4.000000,6.000000,0.657781,5.000000,0.000000,32.263176,5.000000,1.500000,57.111650,0.029824,0.500000,0.100000,0.300000,0.300000,0.824774,0.178022,0.300000,0.225629,0.709542,139.436926
19,-22040.891635,0.220492,0.080000,0.656252,0.200000,0.950000,20.000000,6.000000,0.602165,5.000000,0.000000,298.434523,3.146951,0.711394,129.801106,0.002000,5.000000,0.100000,0.548866,0.300000,0.469794,0.052377,0.631557,0.323064,0.850000,59.137324
20,-10875.292136,0.050000,0.010000,0.600325,3.000000,0.950000,16.191073,6.000000,0.400000,15.044906,0.058031,10.000000,2.812156,0.500000,300.000000,0.002000,0.500000,1.051621,1.015979,0.300000,0.300000,0.200000,0.800000,0.150000,0.545159,137.780808
