eval,fitness,prey_move_cost,pred_move_cost,pred_bite_reward,pred_digest_time,pred_repro_thresh,prey_cooldown,pred_cooldown,parent_energy_split,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,detritus_fraction,carcass_fraction,detritus_decay_rate,detritus_decay_eff,grazing_diet_cap,hunting_diet_floor,prey_density_k
1,-34014.794687,0.096236,0.071709,0.800000,0.200000,0.950000,4.000000,6.000000,0.700000,30.000000,0.000000,16.502105,0.500000,1.500000,117.695718,0.005703,0.500000,0.100000,1.292935,0.147965,0.900000,0.072659,0.629066,0.150000,0.850000,368.762277
2,-18363.087713,0.050000,0.048158,0.400000,0.200000,0.869768,20.000000,6.000000,0.484798,30.000000,0.000000,51.973642,5.000000,1.116467,300.000000,0.002000,0.574530,3.000000,0.300000,0.300000,0.761209,0.200000,0.678246,0.150000,0.500000,500.000000
3,-18822.276949,0.250000,0.080000,0.400000,0.200000,0.906193,13.679366,20.000000,0.700000,5.000000,0.027448,64.170976,0.500000,1.500000,300.000000,0.002000,4.263830,0.100000,0.300000,0.300000,0.731533,0.057346,0.393204,0.280440,0.500000,50.000000
4,-20004.100644,0.179930,0.010000,0.696160,0.200000,0.703483,16.362179,6.000000,0.598855,30.000000,0.000000,219.748099,1.217839,1.254174,41.941529,0.002000,0.500000,0.100000,0.300000,0.234389,0.709636,0.010000,0.800000,0.150000,0.850000,50.000000
5,-34486.084586,0.184574,0.043372,0.800000,3.000000,0.767782,4.644727,6.000000,0.400000,30.000000,0.000000,600.000000,0.500000,0.500000,300.000000,0.012913,2.727996,1.175774,2.000000,0.000000,0.900000,0.010000,0.673079,0.150000,0.850000,362.182892
6,-25699.390973,0.250000,0.010000,0.400000,0.200000,0.950000,7.158406,7.668952,0.400000,30.000000,0.695686,10.000000,0.500000,1.418711,20.000000,0.002000,5.000000,3.000000,0.300000,0.300000,0.300000,0.010000,0.800000,0.500000,0.500000,173.460247
7,-13213.821875,0.100574,0.080000,0.611804,0.200000,0.500000,17.231598,20.000000,0.474099,5.000000,0.686221,10.000000,0.500000,0.612268,62.412255,0.002000,5.000000,0.100000,0.300000,0.000000,0.349220,0.159235,0.790851,0.150000,0.677489,500.000000
8,-18697.999034,0.086625,0.080000,0.582312,1.830081,0.500000,20.000000,20.000000,0.700000,30.000000,0.000000,10.000000,0.500000,0.514614,91.142934,0.002000,1.182145,0.100000,1.747529,0.300000,0.826126,0.010000,0.765501,0.253165,0.850000,437.862472
9,-17799.851379,0.050000,0.010000,0.405757,3.000000,0.517327,4.000000,20.000000,0.400000,7.097439,0.000000,258.597074,0.500000,0.924673,300.000000,0.002000,0.500000,0.100000,2.000000,0.000000,0.900000,0.023115,0.800000,0.435270,0.850000,50.000000
10,-17837.144854,0.225906,0.010000,0.800000,0.200000,0.950000,4.000000,6.000000,0.489732,5.000000,0.000000,10.000000,0.500000,1.301066,110.803029,0.002000,2.866639,0.100000,0.300000,0.000000,0.744056,0.010000,0.423253,0.150000,0.788776,50.000000
11,-39789.333168,0.050000,0.010000,0.654642,3.000000,0.950000,4.000000,16.245295,0.400000,22.744037,0.000000,212.012040,0.500000,1.500000,20.000000,0.002000,5.000000,3.000000,2.000000,0.034207,0.399988,0.069367,0.649639,0.150000,0.543874,216.930885
12,-19149.380958,0.073719,0.080000,0.679714,0.876881,0.950000,4.000000,7.898594,0.700000,5.000000,0.000000,513.442242,0.500000,1.500000,300.000000,0.050000,5.000000,0.100000,0.300000,0.000000,0.300000,0.200000,0.300000,0.500000,0.500000,500.000000
13,-12949.356581,0.096322,0.010000,0.667389,1.218037,0.950000,4.000000,20.000000,0.400000,7.808652,1.000000,10.000000,3.918742,0.500000,20.000000,0.034713,5.000000,0.100000,1.607853,0.004964,0.300000,0.200000,0.300000,0.500000,0.579390,500.000000
14,-20114.280096,0.050000,0.012727,0.400000,1.165353,0.500000,5.359285,12.392464,0.481370,30.000000,0.045767,10.000000,5.000000,1.500000,68.279657,0.002000,0.500000,0.668209,0.745489,0.300000,0.300000,0.200000,0.300000,0.500000,0.850000,181.668399
15,-25133.136869,0.050000,0.010000,0.447229,0.200000,0.950000,9.542658,15.544101,0.700000,5.000000,1.000000,10.000000,5.000000,0.500000,300.000000,0.050000,0.500000,0.100000,0.339065,0.102750,0.674804,0.010000,0.800000,0.332234,0.500000,50.000000
16,-19834.881378,0.185066,0.034306,0.457738,0.200000,0.890389,4.000000,6.000000,0.530711,16.845579,0.010830,206.501966,0.500000,1.500000,20.000000,0.012888,5.000000,0.100000,1.335727,0.222628,0.792298,0.104053,0.800000,0.500000,0.500000,50.000000
17,-34368.907439,0.050000,0.010000,0.800000,3.000000,0.950000,8.260219,6.000000,0.400000,27.232584,0.000000,487.921254,5.000000,0.500000,195.485961,0.050000,2.591252,3.000000,0.300000,0.000000,0.680731,0.010000,0.800000,0.480897,0.624150,500.000000
18,-36278.886178,0.250000,0.010000,0.800000,3.000000,0.825750,16.726232,20.000000,0.400000,28.843713,0.000000,600.000000,5.000000,0.757203,108.220096,0.031247,0.861981,0.100000,2.000000,0.000000,0.300000,0.200000,0.800000,0.500000,0.601009,500.000000
19,-25015.845696,0.198903,0.025636,0.400000,0.478012,0.950000,20.000000,12.530003,0.400000,23.504447,0.816015,10.000000,4.379527,0.973657,20.000000,0.013583,2.880427,0.100000,2.000000,0.000000,0.300000,0.054508,0.632059,0.150000,0.838000,50.000000
20,-29021.797444,0.250000,0.010000,0.613533,0.861849,0.777445,14.836423,6.000000,0.522609,30.000000,0.710431,10.000000,0.500000,0.500000,300.000000,0.002000,5.000000,2.650076,2.000000,0.238841,0.900000,0.010000,0.300000,0.150000,0.500000,391.894914
21,-16226.737789,0.250000,0.020634,0.400000,0.200000,0.500000,4.000000,14.835015,0.700000,30.000000,0.000000,232.735675,0.500000,0.500000,20.000000,0.002000,5.000000,0.924335,0.300000,0.196561,0.900000,0.010000,0.665493,0.150000,0.500000,50.000000
22,-17252.675983,0.156098,0.022358,0.800000,3.000000,0.907105,14.271789,20.000000,0.574367,5.000000,0.000000,600.000000,2.386618,0.500000,20.000000,0.050000,5.000000,0.647851,1.930903,0.109163,0.830781,0.200000,0.800000,0.165203,0.729080,50.000000
23,-28723.936115,0.050000,0.080000,0.761923,3.000000,0.950000,4.000000,6.000000,0.700000,23.056938,1.000000,510.357743,5.000000,0.500000,300.000000,0.040566,0.500000,1.292993,2.000000,0.031116,0.351254,0.079350,0.300000,0.436701,0.585347,417.087260
