window_end,avg_tick_us,min_tick_us,max_tick_us,ticks_per_sec,fps,resource_field_pct,spatial_grid_pct,behavior_physics_pct,feeding_pct,energy_pct,cooldowns_pct,reproduction_pct,cleanup_pct,telemetry_pct
3087246,2311,494,27238,432.64590225923365,92.27433158781056,82.89707483779023,0.30813041158902615,12.645634018774235,1.4137137502222719,2.3708995443806002,0.113483020162597,0.12806318706873315,0.06126265975990748,0.03919771874468656
3087845,2321,508,27282,430.7695223670613,96.79449541319924,82.99834541426459,0.2905971197888196,12.621202389737002,1.3741547763509256,2.3392938912143264,0.13104008870406003,0.1272923938594666,0.060350810083625285,0.03691694806685716
3088444,2343,501,27284,426.7498772027228,96.04572083658128,82.92257946402776,0.27090082204828847,12.712921516856834,1.4153159677428302,2.2864404920767485,0.11266196758151882,0.12815298812397766,0.060086382710143375,0.06994430487352626
3089043,2397,493,28576,417.080619181204,79.09879890846821,81.49746957188343,0.3046356842499514,13.85917189477223,1.4124018087952293,2.418275138074539,0.17267137634101845,0.21162670617254292,0.06956904727942483,0.03390865433943188
3089642,2576,605,28623,388.097213694864,79.6886849956486,79.65664263309988,0.28750241590515524,15.452711518802923,1.4129455258988914,2.721880998527559,0.19711457483562145,0.13843427612495798,0.07936588020059969,0.03683042557964259
3090241,2544,610,28621,392.98783938429807,82.84603296741898,79.91659226096908,0.29949603239477357,15.221087098680819,1.42835360102617,2.683831851507187,0.12449854751694564,0.13730995108087377,0.07769369584627572,0.0936097033413398
3090840,2494,567,28799,400.93481962543865,84.11519811904958,80.65361196164979,0.30531186514477154,14.535851792038319,1.4480161945592342,2.6392737306303378,0.1414898978458173,0.13487447332199756,0.0866420145210573,0.03452048796975027
3091439,2443,550,28507,409.2255815095513,88.70753126940477,81.09566057193366,0.30168109868884124,14.230574061645743,1.388134095038549,2.5889656414201765,0.13267093352539652,0.1347170614329443,0.07447905583473834,0.035643548149481924
3092038,2508,557,30279,398.61425739558996,82.70471546724566,81.41516830889097,0.30151182429402423,13.99191849454556,1.3323282939190197,2.5865680548142436,0.11336589480330579,0.13373508335622045,0.07370377619244459,0.03539694605672839
3092637,2482,536,29937,402.7535454394605,26.927625516865675,82.10710988888835,0.2949766966798609,13.346084510581946,1.3331947861137021,2.5288895118143726,0.12529662798621616,0.13194206148596727,0.07555656512444278,0.03697277547134248
