eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,prey_repro_thresh,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,cooldown_jitter,parent_energy_split,child_energy,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
58,55.345984,0.050000,0.121785,0.056058,0.002000,0.010000,0.590529,0.856243,0.200000,0.523496,0.614680,15.000000,9.713233,6.000000,1.518862,0.445092,0.491361,5.536299,0.529474,0.000000,0.500000,558.743754,101.801725,0.500000,300.000000,0.007614,1.319620,0.100000,0.934196,39.580258,5.000000,1.535563,0.150000
59,57.980120,0.005000,0.250000,0.020000,0.020000,0.080000,0.400000,0.742554,0.200000,0.878368,0.500000,15.000000,14.182786,20.000000,3.000000,0.579967,0.200000,27.249905,1.000000,300.000000,4.249951,520.094197,200.000000,0.500000,20.000000,0.048782,2.106991,0.100000,0.300000,100.000000,2.241693,1.000000,0.016438
60,55.567671,0.005000,0.250000,0.044618,0.002500,0.080000,0.800000,1.000000,3.000000,0.500000,0.500000,14.447989,20.000000,15.410370,3.000000,0.400000,0.315874,30.000000,1.000000,300.000000,0.500000,600.000000,200.000000,0.500000,300.000000,0.002000,0.500000,1.778510,0.300000,10.000000,0.500000,1.000000,0.150000
61,58.761647,0.005000,0.050000,0.020000,0.002000,0.010000,0.742791,1.000000,2.950480,0.816498,0.950000,11.964087,4.000000,19.393712,0.000000,0.611000,0.500000,20.365568,0.000000,300.000000,0.819010,586.791061,53.377352,0.939060,20.000000,0.002000,4.314661,0.100000,0.300000,100.000000,0.500000,4.000000,0.005000
62,0.000000,0.005000,0.250000,0.096004,0.020000,0.062873,0.800000,0.600000,0.714633,0.500000,0.710231,15.000000,17.766157,20.000000,3.000000,0.508529,0.500000,30.000000,0.380585,0.000000,0.500000,200.000000,200.000000,1.035517,176.271876,0.002000,5.000000,0.100000,0.438085,10.000000,0.500000,1.865780,0.005000
63,54.431928,0.005000,0.150750,0.100000,0.004150,0.010000,0.596420,1.000000,0.200000,0.526637,0.500000,15.000000,4.000000,9.908283,3.000000,0.639534,0.417746,5.000000,0.000000,0.000000,0.500000,200.000000,60.313641,0.500000,20.000000,0.002000,0.500000,0.404686,0.341632,100.000000,2.851591,2.768905,0.031636
64,55.328715,0.005000,0.250000,0.020516,0.020000,0.057983,0.800000,1.000000,0.200000,0.532027,0.950000,15.000000,4.000000,6.000000,3.000000,0.534068,0.500000,29.229367,0.289862,0.000000,1.003049,600.000000,161.895690,0.500000,20.000000,0.002000,0.500000,0.386258,2.000000,100.000000,0.500000,3.184856,0.005000
65,9.257759,0.005000,0.050000,0.020000,0.015129,0.080000,0.400000,0.759677,0.644679,0.500000,0.500000,2.000000,4.000000,7.783399,3.000000,0.400000,0.500000,5.000000,1.000000,188.939080,5.000000,547.570454,40.000000,1.221917,300.000000,0.024115,4.779745,0.100000,0.938665,100.000000,0.500000,1.698635,0.150000
66,55.564458,0.024096,0.250000,0.020000,0.020000,0.074313,0.800000,1.000000,3.000000,0.776725,0.500000,15.000000,10.806682,12.482042,3.000000,0.400000,0.200000,5.000000,0.019240,0.000000,4.597417,200.000000,200.000000,1.316805,300.000000,0.009764,3.798282,0.100000,2.000000,57.546663,2.285663,1.000000,0.005000
67,55.986734,0.025632,0.237697,0.031381,0.002000,0.080000,0.800000,0.600000,0.200000,0.950000,0.500000,11.981718,20.000000,20.000000,0.000000,0.631618,0.242233,5.000000,0.671034,300.000000,4.607949,200.000000,132.900807,0.500000,226.870238,0.002000,5.000000,1.707486,0.352142,55.172419,1.565066,1.000000,0.150000
