eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,prey_repro_thresh,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,cooldown_jitter,parent_energy_split,child_energy,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
12,59.731713,0.050000,0.050000,0.068528,0.007170,0.010000,0.401888,1.000000,2.634050,0.950000,0.824456,2.000000,13.220087,6.000000,3.000000,0.453151,0.444119,21.611145,0.000000,0.000000,3.536922,600.000000,200.000000,1.500000,241.891542,0.034362,3.567183,0.869190,0.853752,100.000000,4.921674,3.051659,0.017578
13,57.648795,0.005000,0.226915,0.020000,0.020000,0.010000,0.800000,0.692519,0.200000,0.950000,0.950000,2.000000,20.000000,6.000000,1.869226,0.700000,0.500000,30.000000,0.013442,300.000000,0.500000,600.000000,200.000000,0.500000,300.000000,0.028927,0.500000,0.100000,1.541745,20.267479,5.000000,1.000000,0.150000
14,59.731713,0.005000,0.181391,0.100000,0.010395,0.012067,0.432729,1.000000,0.200000,0.811542,0.837232,3.937481,4.000000,20.000000,1.125664,0.400000,0.299065,6.503718,1.000000,232.459157,5.000000,200.000000,40.000000,1.500000,20.000000,0.050000,5.000000,0.100000,1.119917,79.500219,5.000000,2.806464,0.005000
15,59.594598,0.017546,0.250000,0.020000,0.002000,0.080000,0.400000,1.000000,3.000000,0.950000,0.950000,15.000000,9.615567,7.132529,2.873158,0.625848,0.226953,30.000000,0.000000,0.000000,5.000000,249.528922,48.812288,1.363682,20.000000,0.002000,0.500000,3.000000,0.300000,100.000000,4.257669,4.000000,0.005000
16,0.605481,0.005000,0.250000,0.020000,0.019392,0.019998,0.800000,1.000000,0.200000,0.500000,0.950000,8.387075,4.000000,8.110919,3.000000,0.700000,0.500000,5.000000,0.015651,151.853850,1.028295,200.000000,200.000000,0.504383,157.413578,0.002000,0.500000,0.100000,1.598450,100.000000,5.000000,4.000000,0.005000
17,58.311459,0.005000,0.157733,0.020000,0.002000,0.080000,0.400000,1.000000,0.200000,0.950000,0.594648,11.763665,12.512066,20.000000,0.000000,0.488464,0.304525,6.490713,0.767090,0.000000,5.000000,200.000000,154.129380,1.379329,300.000000,0.008444,0.500000,1.353857,0.819438,50.125198,2.178888,1.577262,0.005000
18,59.731713,0.005000,0.130307,0.073653,0.002000,0.025027,0.400000,0.708920,0.200000,0.880790,0.950000,15.000000,4.000000,9.091808,3.000000,0.400000,0.387933,30.000000,0.292275,300.000000,5.000000,311.641952,200.000000,1.500000,300.000000,0.009064,1.445157,1.442630,1.103453,10.000000,0.500000,3.967833,0.005000
19,55.147189,0.050000,0.050000,0.041269,0.002000,0.069500,0.800000,0.739524,0.200000,0.757836,0.500000,15.000000,4.000000,18.021827,2.830523,0.678447,0.200000,5.000000,0.434325,0.000000,5.000000,600.000000,40.000000,0.500000,20.000000,0.002000,0.500000,0.100000,1.866627,10.000000,2.237747,2.073518,0.143416
20,57.934337,0.005000,0.050000,0.100000,0.020000,0.010000,0.400000,0.600000,0.932957,0.950000,0.613819,15.000000,12.398647,6.000000,2.311694,0.400000,0.317556,5.000000,1.000000,19.156545,0.500000,200.000000,173.740362,0.788853,20.000000,0.002000,5.000000,3.000000,1.621106,59.381310,0.500000,1.708839,0.122855
21,58.793373,0.018690,0.250000,0.100000,0.020000,0.010000,0.400000,1.000000,0.200000,0.950000,0.950000,2.000000,4.000000,6.000000,3.000000,0.607955,0.500000,8.024742,1.000000,0.000000,0.500000,600.000000,200.000000,0.500000,122.553635,0.014981,5.000000,0.100000,0.300000,100.000000,5.000000,1.000000,0.005000
22,59.731713,0.035615,0.050000,0.037907,0.012804,0.010000,0.400000,0.991862,0.200000,0.950000,0.950000,15.000000,7.674015,20.000000,1.580939,0.700000,0.200000,5.000000,0.780955,229.683309,4.960220,200.000000,40.000000,1.500000,300.000000,0.002000,0.500000,0.132996,0.300000,10.000000,0.500000,1.000000,0.065595
23,55.720884,0.005000,0.050000,0.100000,0.020000,0.080000,0.400000,0.603699,3.000000,0.525461,0.950000,15.000000,4.000000,7.881528,1.728334,0.403399,0.200000,24.871943,0.000000,0.000000,0.500000,600.000000,78.108070,1.500000,67.104299,0.030417,0.500000,0.100000,0.791708,74.832815,5.000000,1.000000,0.005000
24,55.640361,0.050000,0.183991,0.069969,0.020000,0.010000,0.582074,0.600000,0.648881,0.695990,0.950000,5.993539,7.720053,20.000000,0.000000,0.400000,0.200000,5.000000,1.000000,187.063511,0.880716,600.000000,200.000000,0.500000,20.000000,0.002000,5.000000,3.000000,0.300000,10.000000,0.500000,4.000000,0.034636
25,58.610324,0.005000,0.250000,0.040154,0.013473,0.080000,0.800000,0.751911,0.200000,0.950000,0.950000,5.582920,20.000000,6.000000,0.000000,0.511579,0.489636,30.000000,1.000000,0.000000,0.500000,600.000000,200.000000,1.500000,132.779264,0.002000,5.000000,0.606081,1.392524,51.515448,4.039962,3.029534,0.005000
26,56.064859,0.050000,0.050000,0.092935,0.010696,0.025622,0.400000,0.838061,0.200000,0.608171,0.950000,2.000000,20.000000,6.000000,0.000000,0.700000,0.500000,5.000000,0.320191,300.000000,1.481745,200.000000,98.167050,1.500000,20.000000,0.015835,5.000000,2.549636,0.890698,10.000000,0.500000,2.519215,0.150000
27,55.995181,0.050000,0.250000,0.020000,0.008631,0.030536,0.400000,0.964401,0.200000,0.670389,0.950000,2.000000,20.000000,8.058733,3.000000,0.503712,0.500000,5.000000,0.000000,0.000000,3.154070,200.000000,200.000000,1.385619,300.000000,0.038660,3.031496,0.100000,0.300000,10.000000,1.251694,3.810322,0.150000
28,54.506462,0.023770,0.050000,0.020000,0.020000,0.010000,0.492171,0.600000,0.200000,0.500000,0.546465,14.416182,20.000000,20.000000,3.000000,0.700000,0.200000,5.000000,1.000000,0.000000,1.233382,200.000000,115.533211,0.500000,300.000000,0.002000,0.500000,1.325282,0.300000,100.000000,0.500000,3.299635,0.082409
29,58.791767,0.015552,0.148073,0.057740,0.019901,0.067275,0.555819,0.600000,2.447599,0.950000,0.950000,15.000000,7.556231,17.869162,0.976574,0.700000,0.363170,21.946459,0.000000,0.000000,5.000000,200.000000,200.000000,0.500000,300.000000,0.050000,3.066974,1.686660,2.000000,100.000000,3.392187,2.240489,0.108100
30,58.120173,0.027868,0.050000,0.020000,0.002000,0.010000,0.400000,0.729840,0.200000,0.950000,0.785860,2.000000,18.425167,6.000000,0.000000,0.425186,0.210527,30.000000,0.000000,141.545005,3.246037,200.000000,40.000000,1.062188,171.826389,0.002000,5.000000,0.100000,0.300000,45.895736,0.500000,1.000000,0.150000
31,54.872088,0.005000,0.050000,0.100000,0.006346,0.016022,0.400000,1.000000,1.589815,0.713878,0.500000,2.000000,4.000000,20.000000,3.000000,0.458029,0.483390,5.000000,1.000000,0.000000,0.500000,592.627775,40.000000,0.500000,181.376972,0.002000,0.500000,3.000000,0.592407,45.628570,0.500000,1.000000,0.005000
32,55.549598,0.008196,0.197216,0.020000,0.002000,0.065160,0.800000,0.600000,0.200000,0.675407,0.578123,9.146480,4.000000,12.559435,0.000000,0.529283,0.200000,30.000000,1.000000,0.000000,2.738461,420.889104,43.798011,1.500000,136.123329,0.002000,5.000000,3.000000,1.559780,10.000000,5.000000,4.000000,0.005000
33,55.352410,0.048404,0.066041,0.038112,0.002000,0.076653,0.706532,0.600000,0.200000,0.522092,0.692597,12.560406,14.008825,6.000000,1.606558,0.400000,0.476710,5.000000,1.000000,0.000000,0.987048,200.000000,200.000000,1.500000,300.000000,0.009172,0.500000,0.100000,2.000000,100.000000,5.000000,4.000000,0.150000
34,53.653414,0.050000,0.250000,0.100000,0.002000,0.080000,0.590189,1.000000,0.200000,0.500000,0.535524,15.000000,16.448214,20.000000,2.059333,0.700000,0.298185,30.000000,0.000000,0.000000,4.741584,303.031961,147.989765,1.500000,20.000000,0.002047,2.734745,0.100000,1.450702,100.000000,0.500000,4.000000,0.005000
35,55.444578,0.050000,0.245601,0.056239,0.002000,0.010000,0.400000,0.640010,2.647037,0.673491,0.940042,15.000000,4.000000,20.000000,1.881229,0.700000,0.399459,5.000000,0.000000,159.086380,3.096481,600.000000,200.000000,1.015322,99.907051,0.002000,5.000000,0.466474,1.727825,31.450104,0.500000,3.559207,0.005000
36,56.818316,0.050000,0.133655,0.100000,0.020000,0.010000,0.800000,0.752817,3.000000,0.950000,0.704284,15.000000,20.000000,20.000000,0.000000,0.400000,0.500000,30.000000,0.000000,167.346669,0.500000,600.000000,40.000000,1.500000,300.000000,0.011350,3.862819,0.100000,1.279749,10.000000,5.000000,3.661374,0.081242
37,16.967773,0.005000,0.143635,0.041800,0.002000,0.010000,0.400000,0.848822,3.000000,0.500000,0.500000,2.000000,4.000000,6.000000,1.070763,0.473978,0.500000,22.162731,0.000000,300.000000,5.000000,600.000000,66.305541,0.928173,45.582458,0.002000,5.000000,0.742366,0.986366,10.000000,0.500000,1.826457,0.134211
38,22.222621,0.005000,0.250000,0.092314,0.020000,0.080000,0.400000,0.600000,1.189009,0.743836,0.500000,2.988840,14.213102,8.488196,3.000000,0.592904,0.500000,30.000000,0.175679,300.000000,3.179893,436.409559,187.906795,0.500000,300.000000,0.002000,5.000000,0.100000,0.300000,10.000000,0.500000,3.352811,0.103853
39,55.693574,0.024018,0.105287,0.100000,0.020000,0.059671,0.800000,1.000000,0.200000,0.500000,0.680136,2.760969,7.365602,20.000000,0.000000,0.400000,0.200000,5.000000,0.000000,0.000000,0.500000,592.657060,101.708117,0.742231,20.000000,0.050000,0.500000,0.100000,2.000000,10.000000,4.326897,1.263955,0.150000
40,54.950803,0.005000,0.250000,0.020000,0.002000,0.080000,0.585079,0.914013,0.200000,0.627767,0.500000,2.000000,4.000000,6.000000,3.000000,0.400000,0.445895,5.000000,1.000000,224.284011,5.000000,600.000000,40.000000,1.500000,24.410027,0.008951,3.333413,0.100000,1.632976,10.000000,0.500000,2.070954,0.023051
