eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,prey_repro_thresh,pred_repro_thresh,prey_cooldown,pred_cooldown,max_prey,max_pred
1,56.254354,0.030563,0.113857,0.072028,0.002000,0.077308,0.800000,0.672477,0.700000,0.950000,4.000000,6.056806,600.000000,200.000000
2,59.836969,0.050000,0.050000,0.097913,0.002000,0.010000,0.200000,1.000000,0.950000,0.700000,4.000000,6.000000,600.000000,200.000000
3,59.836969,0.048772,0.050000,0.065633,0.020000,0.080000,0.200000,0.670954,0.938412,0.722924,4.000000,20.000000,600.000000,146.495461
4,59.603972,0.005000,0.050000,0.100000,0.007022,0.029880,0.745422,0.600000,0.950000,0.783718,12.206240,20.000000,439.947272,170.308973
5,56.254354,0.005000,0.081881,0.020000,0.020000,0.010000,0.800000,1.000000,0.700000,0.950000,6.729348,18.173038,355.036876,200.000000
6,56.254354,0.009964,0.250000,0.020000,0.020000,0.017097,0.800000,1.000000,0.736726,0.950000,15.000000,6.000000,367.237141,40.000000
7,59.836969,0.050000,0.050000,0.095499,0.020000,0.080000,0.200000,0.600000,0.950000,0.757741,10.372063,8.127066,200.000000,84.535408
8,56.177477,0.005000,0.117800,0.020000,0.002000,0.015407,0.720240,0.806706,0.720479,0.950000,4.000000,20.000000,277.953581,200.000000
9,59.836969,0.005000,0.050000,0.020000,0.020000,0.010000,0.200000,0.600000,0.950000,0.700000,4.000000,10.845999,510.984983,200.000000
10,57.641077,0.035809,0.051584,0.020000,0.020000,0.010000,0.200000,1.000000,0.700000,0.950000,10.868386,6.685164,600.000000,200.000000
11,59.926761,0.029707,0.050000,0.020000,0.016411,0.042752,0.210446,0.707588,0.950000,0.803959,4.000000,6.000000,600.000000,40.000000
12,56.254354,0.050000,0.050000,0.020000,0.004164,0.068846,0.800000,1.000000,0.700000,0.807287,15.000000,18.221695,200.000000,200.000000
13,57.436436,0.049273,0.051119,0.089532,0.020000,0.010000,0.255849,0.737484,0.766272,0.883313,4.000000,6.000000,200.000000,125.672096
14,59.982316,0.005000,0.067037,0.020000,0.020000,0.065970,0.200000,0.729477,0.814940,0.826613,7.591735,20.000000,542.963032,93.953102
15,59.093427,0.011415,0.250000,0.020000,0.006530,0.080000,0.800000,0.904362,0.828343,0.950000,6.460581,6.000000,600.000000,200.000000
16,59.093427,0.005000,0.108528,0.083619,0.002000,0.075113,0.800000,0.657863,0.950000,0.801182,15.000000,12.580655,200.000000,141.009300
17,56.254354,0.005000,0.250000,0.027098,0.020000,0.055606,0.800000,0.600000,0.786314,0.950000,4.000000,6.000000,492.836802,40.000000
18,59.982316,0.005000,0.250000,0.020000,0.010776,0.022727,0.200000,1.000000,0.950000,0.950000,6.656598,14.255019,600.000000,40.000000
19,59.648983,0.005000,0.250000,0.091653,0.020000,0.075023,0.405490,0.826971,0.950000,0.908142,7.933722,6.000000,200.000000,63.101311
20,59.093427,0.035817,0.050000,0.020000,0.020000,0.080000,0.800000,0.750993,0.950000,0.872511,4.000000,20.000000,200.000000,200.000000
21,58.652685,0.039232,0.156103,0.020000,0.019781,0.064148,0.800000,0.846857,0.950000,0.729819,13.278966,10.150702,551.844144,200.000000
22,57.641077,0.016959,0.184507,0.075966,0.002000,0.010000,0.200000,0.600000,0.700000,0.950000,4.000000,10.946867,600.000000,40.000000
23,59.093427,0.005000,0.050000,0.100000,0.014987,0.010000,0.800000,1.000000,0.950000,0.835579,5.033775,14.620390,291.248568,200.000000
24,56.798298,0.011749,0.066945,0.020000,0.002000,0.010000,0.437123,1.000000,0.700000,0.950000,8.079255,20.000000,200.000000,40.000000
25,56.798298,0.050000,0.050000,0.100000,0.019537,0.010000,0.421519,0.600000,0.700000,0.889967,4.000000,20.000000,441.514642,200.000000
26,56.254354,0.005000,0.050000,0.020000,0.002000,0.010000,0.800000,0.761480,0.700000,0.950000,15.000000,6.000000,200.000000,175.041247
