eval,fitness,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,parent_energy_split,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity
1,-4854.944536,0.050000,0.081161,0.007897,0.010000,0.800000,0.916634,0.200000,0.619921,2.000000,4.074939,6.000000,0.469824,27.581931,0.000000,0.000000,0.500000,200.000000,647.174714,0.500000,300.000000,0.002000,0.500000,0.583699,2.000000
2,-7562.229775,0.238228,0.020000,0.002000,0.010000,0.400000,1.000000,0.200000,0.795061,15.000000,4.142134,13.201841,0.664395,18.671866,0.192197,274.394558,3.895551,2000.000000,1000.000000,0.500000,20.000000,0.002000,0.500000,1.323161,0.300000
3,-12294.476840,0.050000,0.082521,0.014093,0.080000,0.400000,0.869177,3.000000,0.812499,4.715689,9.322682,12.464344,0.700000,5.000000,0.000000,297.892845,0.500000,822.291653,40.000000,0.500000,219.512903,0.002000,5.000000,0.100000,1.687169
4,-15645.892780,0.050343,0.100000,0.002000,0.047326,0.417579,0.914723,3.000000,0.950000,2.972022,4.000000,15.614960,0.400000,5.000000,1.000000,16.989339,0.500000,200.000000,455.955227,0.500000,20.000000,0.033440,0.500000,0.100000,1.707302
5,-2743.279439,0.153084,0.020000,0.018069,0.010000,0.400000,0.600000,0.200000,0.500000,15.000000,20.000000,20.000000,0.400000,5.000000,1.000000,0.000000,5.000000,1447.964654,1000.000000,1.500000,174.040553,0.050000,0.500000,1.353011,0.300000
6,-2578.333333,0.250000,0.020000,0.015022,0.080000,0.400000,1.000000,0.200000,0.663246,2.000000,4.000000,6.412472,0.400000,5.000000,0.000000,0.000000,0.500000,2000.000000,191.940860,1.500000,263.175249,0.050000,1.344136,0.100000,0.300000
7,-2747.333333,0.050000,0.100000,0.018946,0.010000,0.595192,0.687356,0.200000,0.748972,15.000000,13.532967,6.000000,0.400000,30.000000,0.000000,0.000000,0.500000,1940.408131,1000.000000,0.687129,20.000000,0.009506,0.500000,3.000000,2.000000
8,-2739.735518,0.050000,0.055450,0.020000,0.010000,0.541535,0.828191,1.944987,0.667773,6.048702,4.000000,18.200196,0.400000,12.368577,0.401345,0.000000,0.500000,200.000000,1000.000000,0.500000,300.000000,0.002000,5.000000,1.588818,2.000000
9,-3934.841701,0.109033,0.020000,0.014566,0.080000,0.400000,1.000000,0.200000,0.950000,2.000000,6.848589,6.000000,0.700000,30.000000,1.000000,131.825027,4.367731,200.000000,931.192497,0.808656,64.249852,0.002000,5.000000,0.100000,1.913268
10,-18389.561422,0.104058,0.100000,0.011385,0.010000,0.800000,0.600000,1.292898,0.950000,2.137313,5.927500,20.000000,0.536655,5.000000,1.000000,0.000000,5.000000,200.000000,40.000000,0.500000,20.000000,0.011157,3.829502,3.000000,0.300000
11,-6783.762838,0.250000,0.020000,0.002000,0.018189,0.566190,1.000000,3.000000,0.500000,7.808783,8.816532,6.018101,0.624392,24.806114,0.000000,288.687474,5.000000,1118.296616,663.225247,0.828693,84.736698,0.002000,4.904730,3.000000,1.643541
12,-3503.229969,0.184064,0.020000,0.015581,0.010000,0.611493,1.000000,1.310615,0.500000,15.000000,4.000000,6.000000,0.652599,6.290384,0.000000,300.000000,5.000000,1809.080837,1000.000000,0.500000,160.995490,0.023048,0.500000,0.100000,0.300000
13,-32223.909924,0.214348,0.087680,0.002000,0.010000,0.666317,1.000000,0.200000,0.950000,12.627022,4.000000,16.945445,0.586417,16.484620,0.000000,0.000000,5.000000,200.000000,40.000000,0.500000,300.000000,0.043008,0.500000,0.100000,2.000000
14,-3352.258455,0.250000,0.100000,0.020000,0.046539,0.509716,0.879001,0.200000,0.500000,2.000000,4.000000,20.000000,0.400000,30.000000,0.037653,0.000000,1.981041,200.000000,1000.000000,1.500000,20.000000,0.002000,5.000000,3.000000,2.000000
15,-4250.126560,0.151577,0.020000,0.012093,0.016327,0.400000,1.000000,3.000000,0.766685,2.593068,4.000000,11.320924,0.400000,5.000000,0.054399,0.000000,0.500000,200.000000,40.000000,1.101535,223.081756,0.002000,1.600328,1.120060,1.136501
16,-2997.913795,0.204938,0.037421,0.020000,0.080000,0.400000,0.883597,0.200000,0.950000,5.811675,20.000000,6.000000,0.400000,23.897801,0.685700,175.028787,5.000000,200.000000,40.000000,1.476320,176.987969,0.002000,2.940423,2.817167,1.655972
17,-5310.383353,0.065011,0.082351,0.007031,0.010000,0.452009,0.600000,0.200000,0.522878,2.000000,20.000000,6.000000,0.430350,30.000000,0.000000,0.000000,5.000000,200.000000,357.344969,0.500000,300.000000,0.038372,0.500000,3.000000,0.300000
18,-3202.000000,0.228329,0.020000,0.020000,0.080000,0.400000,0.989291,0.200000,0.950000,13.361080,4.000000,20.000000,0.529096,30.000000,0.060296,202.918075,3.424536,200.000000,113.536831,0.500000,99.516495,0.002765,0.500000,3.000000,0.970532
19,-3531.096142,0.250000,0.064172,0.020000,0.025631,0.400000,1.000000,3.000000,0.950000,2.000000,18.956588,20.000000,0.400000,5.000000,0.920766,92.797492,1.223923,1875.327074,461.756827,1.500000,82.467261,0.004389,5.000000,1.743103,1.861322
20,-13684.301091,0.164704,0.100000,0.002661,0.054685,0.748342,0.849026,0.200000,0.500000,2.909326,4.000000,20.000000,0.700000,5.000000,1.000000,0.000000,5.000000,508.870258,863.055226,0.500000,300.000000,0.026569,3.033292,0.549790,1.260119
21,-6442.744858,0.068949,0.100000,0.012357,0.010000,0.400000,0.819448,1.138062,0.500000,15.000000,4.000000,9.376389,0.621249,30.000000,0.756458,0.000000,0.500000,2000.000000,316.415450,0.913036,20.000000,0.041680,0.500000,0.100000,0.698477
22,-4854.674247,0.250000,0.035150,0.005078,0.080000,0.400000,0.656920,3.000000,0.500000,2.000000,4.000000,19.371539,0.533332,5.000000,0.405783,300.000000,2.124801,200.000000,40.000000,0.914283,213.361014,0.050000,0.500000,1.669673,0.866101
